expansion,url,name,cost,converted_cost,type,rarity,pt,text
mystery-booster-the-list,/mtg/mystery-booster-the-list/lotus-petal,Lotus Petal,[],0.0,Artifact,C,,"{T}, Sacrifice Lotus Petal: Add one mana of any color."
mystery-booster-the-list,/mtg/mystery-booster-the-list/jet-medallion,Jet Medallion,['2'],2.0,Artifact,R,,Black spells you cast cost {1} less to cast.
mystery-booster-the-list,/mtg/mystery-booster-the-list/amulet-of-vigor-foil,Amulet of Vigor (Foil),['1'],1.0,Artifact,R,,"Whenever a permanent enters the battlefield tapped and under your control, untap it."
mystery-booster-the-list,/mtg/mystery-booster-the-list/rhystic-study,Rhystic Study,"['2', 'U']",3.0,Enchantment,C,,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}."
mystery-booster-the-list,/mtg/mystery-booster-the-list/cavern-of-souls,Cavern of Souls,[],0.0,Land,R,,"As Cavern of Souls enters the battlefield, choose a creature type.  {T}: Add {C}.  {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered."
mystery-booster-the-list,/mtg/mystery-booster-the-list/elesh-norn-grand-cenobite,"Elesh Norn, Grand Cenobite","['5', 'W', 'W']",7.0,Legendary Creature - Phyrexian Praetor,M,4/7,Vigilance Other creatures you control get +2/+2. Creatures your opponents control get -2/-2.
mystery-booster-the-list,/mtg/mystery-booster-the-list/slivdrazi-monstrosity-pw-symbol-not-tournament-legal,Slivdrazi Monstrosity (PW Symbol - Not Tournament Legal),"['C', 'W', 'U', 'B', 'R', 'G']",6.0,Legendary Creature - Sliver Eldrazi,S,8/8,Eldrazi you control are Slivers in addition to their other types. Slivers you control have devoid and annihilator 1.  {3}: Create a 1/1 colorless Eldrazi Sliver creature token. It has “Sacrifice this creature: Add {C}.”
mystery-booster-the-list,/mtg/mystery-booster-the-list/sakashimas-student,Sakashima's Student,"['2', 'U', 'U']",4.0,Creature - Human Ninja,R,0/0,"Ninjutsu {1}{U} <em>({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)</em> You may have Sakashima's Student enter the battlefield as a copy of any creature on the battlefield, except it's still a Ninja in addition to its other creature types."
mystery-booster-the-list,/mtg/mystery-booster-the-list/snapcaster-mage,Snapcaster Mage,"['1', 'U']",2.0,Creature - Human Wizard,R,2/1,"Flash When Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost."
mystery-booster-the-list,/mtg/mystery-booster-the-list/expropriate,Expropriate,"['7', 'U', 'U']",9.0,Sorcery,M,,"<em>Council’s dilemma</em> - Starting with you, each player votes for time or money. For each time vote, take an extra turn after this one. For each money vote, choose a permanent owned by the voter and gain control of it. Exile Expropriate."
mystery-booster-the-list,/mtg/mystery-booster-the-list/recruiter-of-the-guard,Recruiter of the Guard,"['2', 'W']",3.0,Creature - Human Soldier,R,1/1,"When Recruiter of the Guard enters the battlefield, you may search your library for a creature card with toughness 2 or less, reveal it, put it into your hand, then shuffle your library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/dolmen-gate,Dolmen Gate,['2'],2.0,Artifact,R,,Prevent all combat damage that would be dealt to attacking creatures you control.
mystery-booster-the-list,/mtg/mystery-booster-the-list/torment-of-hailfire,Torment of Hailfire,"['X', 'B', 'B']",3.0,Sorcery,R,,Repeat the following process X times. Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.
mystery-booster-the-list,/mtg/mystery-booster-the-list/aura-shards-invasion,Aura Shards (Invasion),"['1', 'G', 'W']",3.0,Enchantment,U,,"Whenever a creature enters the battlefield under your control, you may destroy target artifact or enchantment."
mystery-booster-the-list,/mtg/mystery-booster-the-list/twilight-prophet,Twilight Prophet,"['2', 'B', 'B']",4.0,Creature - Vampire Cleric,M,2/4,"Flying Ascend <i>(If you control ten or more permanents, you get the city's blessing for the rest of the game.)</i> At the beginning of your upkeep, if you have the city's blessing, reveal the top card of your library and put it into your hand. Each opponent loses X life and you gain X life, where X is that card's converted mana cost."
mystery-booster-the-list,/mtg/mystery-booster-the-list/sliver-hivelord,Sliver Hivelord,"['W', 'U', 'B', 'R', 'G']",5.0,Legendary Creature - Sliver,M,5/5,Sliver creatures you control have indestructible.
mystery-booster-the-list,/mtg/mystery-booster-the-list/chromatic-lantern,Chromatic Lantern,['3'],3.0,Artifact,R,,Lands you control have “{T}: Add one mana of any color.”  {T}: Add one mana of any color.
mystery-booster-the-list,/mtg/mystery-booster-the-list/sapphire-medallion,Sapphire Medallion,['2'],2.0,Artifact,R,,Blue spells you cast cost {1} less to cast.
mystery-booster-the-list,/mtg/mystery-booster-the-list/demonic-tutor-ultimate-masters,Demonic Tutor (Ultimate Masters),"['1', 'B']",2.0,Sorcery,R,,"Search your library for a card, put that card into your hand, then shuffle your library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/gemstone-caverns,Gemstone Caverns,[],0.0,Legendary Land,R,,"If Gemstone Caverns is in your opening hand and you're not the starting player, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile a card from your hand.  {T}: Add {C}. If Gemstone Caverns has a luck counter on it, instead add one mana of any color."
mystery-booster-the-list,/mtg/mystery-booster-the-list/sliv-mizzet-hivemind-pw-symbol-not-tournament-legal,"Sliv-Mizzet, Hivemind (PW Symbol - Not Tournament Legal)","['2', 'U', 'U', 'R', 'R']",6.0,Legendary Creature - Dragon Sliver,S,4/4,"Slivers you control have flying and “Whenever you draw a card, this creature deals 1 damage to any target” and “{T}: Draw a card.”"
mystery-booster-the-list,/mtg/mystery-booster-the-list/ancient-tomb,Ancient Tomb,[],0.0,Land,U,,{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.
mystery-booster-the-list,/mtg/mystery-booster-the-list/land-tax,Land Tax,['W'],1.0,Enchantment,R,,"At the beginning of your upkeep, if you an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle your library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/korvold-fae-cursed-king,"Korvold, Fae-Cursed King","['2', 'B', 'R', 'G']",5.0,Legendary Creature - Dragon Noble,M,4/4,"Flying Whenever Korvold, Fae-Cursed King enters the battlefield or attacks, sacrifice another permanent. Whenever you sacrifice a permanent, put a +1/+1 counter on Korvold and draw a card."
mystery-booster-the-list,/mtg/mystery-booster-the-list/kiki-jiki-mirror-breaker-modern-masters-2015,"Kiki-Jiki, Mirror Breaker (Modern Masters 2015)","['2', 'R', 'R', 'R']",5.0,Legendary Creature - Goblin Shaman,M,2/2,"Haste  {T}: Create a token that’s a copy of target nonlegendary creature you control, except it has haste. Sacrifice it at the beginning of the next end step."
mystery-booster-the-list,/mtg/mystery-booster-the-list/revel-in-riches,Revel in Riches,"['4', 'B']",5.0,Enchantment,R,,"Whenever a creature an opponent controls dies, create a Treasure token. <em>(It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)</em> At the beginning of your upkeep, if you control ten or more Treasures, you win the game."
mystery-booster-the-list,/mtg/mystery-booster-the-list/blood-moon,Blood Moon,"['2', 'R']",3.0,Enchantment,R,,Nonbasic lands are Mountains.
mystery-booster-the-list,/mtg/mystery-booster-the-list/minamo-school-at-waters-edge-foil,"Minamo, School at Water's Edge (Foil)",[],0.0,Legendary Land,R,,"{T}: Add {U}.  {U},{T}: Untap target legendary permanent."
mystery-booster-the-list,/mtg/mystery-booster-the-list/coat-of-arms,Coat of Arms,['5'],5.0,Artifact,R,,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. <em>(For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)</em"
mystery-booster-the-list,/mtg/mystery-booster-the-list/shizo-deaths-storehouse-foil,"Shizo, Death's Storehouse (Foil)",[],0.0,Legendary Land,R,,"{T}: Add {B}.  {B},{T}: Target legendary creature gains fear until end of turn."
mystery-booster-the-list,/mtg/mystery-booster-the-list/triumph-of-the-hordes,Triumph of the Hordes,"['2', 'G', 'G']",4.0,Sorcery,U,,"Until end of turn, creatures you control get +1/+1 and gain trample and infect. <em>(Creatures with infect deal damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)</em"
mystery-booster-the-list,/mtg/mystery-booster-the-list/the-chain-veil,The Chain Veil,['4'],4.0,Legendary Artifact,M,,"At the beginning of your end step, if you didn’t activate a loyalty ability of a planeswalker this turn, you lose 2 life.  {4}, {T}: For each planeswalker you control, you may activate one of its loyalty abilities once this turn as though none of its loyalty abilities have been activated this turn."
mystery-booster-the-list,/mtg/mystery-booster-the-list/scourge-of-the-throne-foil,Scourge of the Throne (Foil),"['4', 'R', 'R']",6.0,Creature - Dragon,M,5/5,"Flying Dethrone <em>(Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)</em> Whenever Scourge of the Throne attacks for the first time each turn, if it's attacking the player with the most life or tied for the most life, untap all attacking creatures. After this phase, there is an additional combat phase."
mystery-booster-the-list,/mtg/mystery-booster-the-list/athreos-god-of-passage,"Athreos, God of Passage","['1', 'W', 'B']",3.0,Legendary Enchantment Creature - God,M,5/4,"Indestructible As long as your devotion to white and black is less than seven, Athreos isn’t a creature. Whenever another creature you own dies, return it to your hand unless target opponent pays 3 life."
mystery-booster-the-list,/mtg/mystery-booster-the-list/teferis-protection,Teferi's Protection,"['2', 'W']",3.0,Instant,R,,"Until your next turn, your life total can’t change and you have protection from everything. All permanents you control phase out. <em>(While they’re phased out, they’re treated as though they don’t exist. They phase in before you untap during your untap step.)</em> Exile Teferi’s Protection."
mystery-booster-the-list,/mtg/mystery-booster-the-list/heralds-horn,Herald's Horn,['3'],3.0,Artifact,U,,"As Herald’s Horn enters the battlefield, choose a creature type. Creature spells you cast of the chosen type cost {1} less to cast. At the beginning of your upkeep, look at the top card of your library. If it’s a creature card of the chosen type, you may reveal it and put it into your hand."
mystery-booster-the-list,/mtg/mystery-booster-the-list/vedalken-orrery,Vedalken Orrery,['4'],4.0,Artifact,R,,You may cast nonland cards as though they had flash.
mystery-booster-the-list,/mtg/mystery-booster-the-list/veil-of-summer,Veil of Summer,['G'],1.0,Instant,U,,Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn. <em>(You and they can't be the targets of blue or black spells or abilities your opponents control.)</em
mystery-booster-the-list,/mtg/mystery-booster-the-list/dragon-broodmother,Dragon Broodmother,"['2', 'R', 'R', 'R', 'G']",6.0,Creature - Dragon,M,4/4,"Flying At the beginning of each upkeep, create a 1/1 red and green Dragon creature token with flying and devour 2. <em>(As the token enters the battlefield, you may sacrifice any number of creatures. It enters the battlefield with twice that many +1/+1 counters on it.)</em"
mystery-booster-the-list,/mtg/mystery-booster-the-list/ashnods-altar,Ashnod's Altar,['3'],3.0,Artifact,U,,Sacrifice a creature: Add {C}{C}.
mystery-booster-the-list,/mtg/mystery-booster-the-list/bloodchief-ascension,Bloodchief Ascension,['B'],1.0,Enchantment,R,,"At the beginning of each end step, if an opponent lost 2 or more life this turn, you may put a quest counter on Bloodchief Ascension. <em>(Damage causes loss of life.)</em> Whenever a card is put into an opponent's graveyard from anywhere, if Bloodchief Ascension has three or more quest counters on it, you may have that player lose 2 life. If you do, you gain 2 life."
mystery-booster-the-list,/mtg/mystery-booster-the-list/kozilek-butcher-of-truth,"Kozilek, Butcher of Truth",['10'],10.0,Legendary Creature - Eldrazi,M,12/12,"When you cast this spell, draw four cards. Annihilation 4 When Kozilek, Butcher of Truth is put into a graveyard from anywhere, its owner shuffles their graveyard into their library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/primal-vigor,Primal Vigor,"['4', 'G']",5.0,Enchantment,R,,"If one or more tokens would be put onto the battlefield, twice that many of those tokens are put onto the battlefield instead. If one or more +1/+1 counters would be placed on a creature, twice that many +1/+1 counters are placed on that creature instead."
mystery-booster-the-list,/mtg/mystery-booster-the-list/aetherflux-reservoir,Aetherflux Reservoir,['4'],4.0,Artifact,R,,"Whenever you cast a spell, you gain 1 life for each spell you’ve cast this turn. Pay 50 life: Aetherflux Reservoir deals 50 damage to any target."
mystery-booster-the-list,/mtg/mystery-booster-the-list/kalonian-hydra,Kalonian Hydra,"['3', 'G', 'G']",5.0,Creature - Hydra,M,0/0,"Trample Kalonian Hydra enters the battlefield with four +1/+1 counters on it. Whenever Kalonian Hydra attacks, double the number of +1/+1 counters on each creature you control."
mystery-booster-the-list,/mtg/mystery-booster-the-list/blood-crypt,Blood Crypt,[],0.0,Land - Swamp Mountain,R,,"As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
mystery-booster-the-list,/mtg/mystery-booster-the-list/ink-eyes-servant-of-oni,"Ink-Eyes, Servant of Oni","['4', 'B', 'B']",6.0,Legendary Creature - Rat Ninja,R,5/4,"Ninjutsu {3}{B}{B} Whenever Ink-Eyes, Servant of Oni deals combat damage to a player, you may put target creature card from that player's graveyard onto the battlefield under your control.  {1}{B}: Regenerate Ink-Eyes."
mystery-booster-the-list,/mtg/mystery-booster-the-list/defense-of-the-heart,Defense of the Heart,"['3', 'G']",4.0,Enchantment,R,,"At the beginning of your upkeep, if an opponent controls three or more creatures, sacrifice Defense of the Heart, search your library for up to two creature cards, and put those cards onto the battlefield. Then shuffle your library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/sakashima-the-impostor,Sakashima the Impostor,"['2', 'U', 'U']",4.0,Legendary Creature - Human Rogue,R,3/1,"You may have Sakashima the Impostor enter the battlefield as a copy of any creature on the battlefield, except its name is Sakashima the Impostor, it’s legendary in addition to its other types, and it has “{2}{U}{U}: Return this creature to its owner’s hand at the beginning of the next end step.”"
mystery-booster-the-list,/mtg/mystery-booster-the-list/animate-dead,Animate Dead,"['1', 'B']",2.0,Enchantment - Aura,U,,"Enchant creature card in a graveyard When Animate Dead enters the battlefield, if it’s on the battlefield, it loses “enchant creature card in a graveyard” and gains “enchant creature put onto the battlefield with Animate Dead.” Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature’s controller sacrifices it. Enchanted creature gets -1/-0."
mystery-booster-the-list,/mtg/mystery-booster-the-list/exsanguinate,Exsanguinate,"['X', 'B', 'B']",3.0,Sorcery,U,,Each opponent loses X life. You gain life equal to the life lost this way.
mystery-booster-the-list,/mtg/mystery-booster-the-list/vigor,Vigor,"['3', 'G', 'G', 'G']",6.0,Creature - Elemental Incarnation,R,6/6,"Trample If damage would be dealt to another creature you control, prevent that damage. Put a +1/+1 counter on that creature for each 1 damage prevented this way. When Vigor is put into a graveyard from anywhere, shuffle it into its owner’s library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/mycosynth-golem,Mycosynth Golem,['11'],11.0,Artifact Creature - Golem,R,4/5,Affinity for artifacts <em>(This spell costs {1} less to cast for each artifact you control.)</em> Artifact creature spells you cast have affinity for artifacts. <em>(They cost {1} less to cast for each artifact you control.)</em
mystery-booster-the-list,/mtg/mystery-booster-the-list/sword-of-the-animist,Sword of the Animist,['2'],2.0,Legendary Artifact - Equipment,R,,"Equipped creature gets +1/+1. Whenever equipped creature attacks, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library. Equip {2"
mystery-booster-the-list,/mtg/mystery-booster-the-list/rune-scarred-demon,Rune-Scarred Demon,"['5', 'B', 'B']",7.0,Creature - Demon,R,6/6,"Flying When Rune-Scarred Demon enters the battlefield, search your library for a card, put it into your hand, then shuffle your library."
mystery-booster-the-list,/mtg/mystery-booster-the-list/urborg-tomb-of-yawgmoth,"Urborg, Tomb of Yawgmoth",[],0.0,Legendary Land,R,,Each land is a Swamp in addition to its other land types.
mystery-booster-the-list,/mtg/mystery-booster-the-list/braid-of-fire-foil,Braid of Fire (Foil),"['1', 'R']",2.0,Enchantment,R,,"Cumulative upkeep - Add {R}. <em>(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) </em"
mystery-booster-the-list,/mtg/mystery-booster-the-list/eldrazi-monument,Eldrazi Monument,['5'],5.0,Artifact,M,,"Creatures you control get +1/+1 and have flying and indestructible. At the beginning of your upkeep, sacrifice a creature. If you can’t, sacrifice Eldrazi Monument."
mystery-booster-the-list,/mtg/mystery-booster-the-list/grave-titan,Grave Titan,"['4', 'B', 'B']",6.0,Creature - Giant,M,6/6,"Deathtouch Whenever Grave Titan enters the battlefield or attacks, create two 2/2 black Zombie creature tokens."
mystery-booster-the-list,/mtg/mystery-booster-the-list/sneak-attack,Sneak Attack,"['3', 'R']",4.0,Enchantment,R,,{R}: You may put a creature card from your hand onto the battlefield. That creature has haste. Sacrifice the creature at the beginning of the next end step.
mystery-booster-the-list,/mtg/mystery-booster-the-list/selvala-heart-of-the-wilds,"Selvala, Heart of the Wilds","['1', 'G', 'G']",3.0,Legendary Creature - Elf Scout,M,2/3,"Whenever another creature enters the battlefield, its controller may draw a card if its power is greater than each other creature’s power.  {G}, {T}: Add X mana in any combination of colors, where X is the greatest power among creatures you control."
mystery-booster-the-list,/mtg/mystery-booster-the-list/umezawas-jitte,Umezawa's Jitte,['2'],2.0,Legendary Artifact - Equipment,R,,"Whenever equipped creature deals damage, put two charger counters on Umezawa's Jitte. Remove a charger counter from Umezawa's Jitte: Choose one -<ul><li>Equipped creature gets +2/+2 until end of turn.</li> <li>Target creature gets -1/-1 until end of turn.</li> <li>You gain 2 life.</li></ul>Equip {2"
mystery-booster-the-list,/mtg/mystery-booster-the-list/morophon-the-boundless,"Morophon, the Boundless",['7'],7.0,Legendary Creature - Shapeshifter,M,6/6,"Changeling <em>(This card is every creature type.)</em> As Morophon, the Boundless enters the battlefield, choose a creature type. Spells of the chosen type you cast cost {W}{U}{B}{R}{G} less to cast. This effect reduces only the amount of colored mana you pay. Other creatures you control of the chosen type get +1/+1."
mystery-booster-the-list,/mtg/mystery-booster-the-list/wrenn-and-six,Wrenn and Six,"['R', 'G']",2.0,Legendary Planeswalker - Wrenn,M,," [+1]: Return up to one target land card from your graveyard to your hand. [-1]: Wrenn and Six deals 1 damage to any target. [-7]: You get an emblem with ""Instant and sorcery cards in your graveyard have retrace."" |3|"
mystery-booster-the-list,/mtg/mystery-booster-the-list/marrow-gnawer-foil,Marrow-Gnawer (Foil),"['3', 'B', 'B']",5.0,Legendary Creature - Rat Rogue,R,2/3,"Rat creatures have fear.  {T}, Sacrifice a Rat: Put X 1/1 black Rat creature tokens onto the battlefield, where X is the number of Rats you control."
mystery-booster-the-list,/mtg/mystery-booster-the-list/birds-of-paradise,Birds of Paradise,['G'],1.0,Creature - Bird,R,0/1,Flying  {T}: Add one mana of any color.
mystery-booster-the-list,/mtg/mystery-booster-the-list/ob-nixilis-the-fallen,"Ob Nixilis, the Fallen","['3', 'B', 'B']",5.0,Legendary Creature - Demon,M,3/3,"<i>Landfall</i> - Whenever a land enters the battlefield under your control, you may have target player lose 3 life. If you do, put three +1/+1 counters on Ob Nixilis, the Fallen."
mystery-booster-the-list,/mtg/mystery-booster-the-list/alhammarrets-archive,Alhammarret's Archive,['5'],5.0,Legendary Artifact,M,,"If you would gain life, you gain twice that much life instead. If you would draw a card except the first one you draw in each of your draw steps, draw two cards instead."
mystery-booster-the-list,/mtg/mystery-booster-the-list/time-sieve,Time Sieve,"['U', 'B']",2.0,Artifact,R,,"{T}, Sacrifice five artifacts: Take an extra turn after this one."
mystery-booster-the-list,/mtg/mystery-booster-the-list/balefire-dragon,Balefire Dragon,"['5', 'R', 'R']",7.0,Creature - Dragon,M,6/6,"Flying Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls."
mystery-booster-the-list,/mtg/mystery-booster-the-list/priest-of-titania,Priest of Titania,"['1', 'G']",2.0,Creature - Elf Druid,C,1/1,{T}: Add {G} for each Elf on the battlefield.
mystery-booster-the-list,/mtg/mystery-booster-the-list/living-death,Living Death,"['3', 'B', 'B']",5.0,Sorcery,R,,"Each player exiles all creature cards from their graveyard, then sacrifices all creatures they control, then puts all cards they exiled this way onto the battlefield."
mystery-booster-the-list,/mtg/mystery-booster-the-list/dictate-of-erebos,Dictate of Erebos,"['3', 'B', 'B']",5.0,Enchantmetn,R,,"Flash Whenever a creature you control dies, each opponent sacrifices a creature."
mystery-booster-the-list,/mtg/mystery-booster-the-list/umbral-mantle,Umbral Mantle,['3'],3.0,Artifact - Equipment,U,,"Equipped creature has “{3}, {UT}: This creature gets +2/+2 until end of turn.” <em>({UT} is the untap symbol.)</em> Equip {0"
mystery-booster-the-list,/mtg/mystery-booster-the-list/akromas-memorial,Akroma's Memorial,['7'],7.0,Legendary Artifact,R,," Creatures you control have flying, first strike, vigilance, trample, haste and protection from black and from red."
mystery-booster-the-list,/mtg/mystery-booster-the-list/phyrexian-metamorph,Phyrexian Metamorph,"['3', '(P/U)']",4.0,Artifact Creature - Phyrexian Shapeshifter,R,0/0,"<em>({P/U} can be paid with either {U} or 2 life.)</em> You may have Phyrexian Metamorph enter the battlefield as a copy of any artifact or creature on the battlefield, except it’s an artifact in addition to its other types."
mystery-booster-the-list,/mtg/mystery-booster-the-list/days-undoing,Day's Undoing,"['2', 'U']",3.0,Sorcery,M,,"Each player shuffles their hand and graveyard into their library, then draws seven cards. If it’s your turn, end the turn. <em>(Exile all spells and abilities from the stack, including this card. Discard down to your maximum hand size. Damage wears off, and “this turn” and “until end of turn” effects end.)</em"
mystery-booster-the-list,/mtg/mystery-booster-the-list/carpet-of-flowers,Carpet of Flowers,['G'],1.0,Enchantment,U,,"At the beginning of each of your main phases, if you haven’t added mana with this ability this turn, you may add X mana of any one color, where X is the number of Islands target opponent controls."
mystery-booster-the-list,/mtg/mystery-booster-the-list/intruder-alarm-foil,Intruder Alarm (Foil),"['2', 'U']",3.0,Enchantment,R,,"Creatures don't untap during their controllers' untap steps. Whenever a creature enters the battlefield, untap all creatures."
mystery-booster-the-list,/mtg/mystery-booster-the-list/asceticism,Asceticism,"['3', 'G', 'G']",5.0,Enchantmetn,R,,Creatures you control have hexproof. <em>(They can’t be the targets of spells or abilities your opponents control.)</em>  {1}{G}: Regenerate target creature.
mystery-booster-the-list,/mtg/mystery-booster-the-list/relentless-rats,Relentless Rats,"['1', 'B', 'B']",3.0,Creature - Rat,U,2/2,Relentless Rats gets +1/+1 for each other creature on the battlefield named Relentless Rats. A deck can have any number of cards named Relentless Rats.
mystery-booster-the-list,/mtg/mystery-booster-the-list/enlightened-tutor,Enlightened Tutor,['W'],1.0,Instant,U,,"Search your library for an artifact or enchantment card and reveal that card. Shuffle your library, then put the card on top of it."
mystery-booster-the-list,/mtg/mystery-booster-the-list/caged-sun,Caged Sun,['6'],6.0,Artifact,R,,"As Caged Sun enters the battlefield, choose a color. Creatures you control of the chosen color get +1/+1. Whenever a land’s ability causes you to add one or more mana of the chosen color, add one additional mana of that color."
mystery-booster-the-list,/mtg/mystery-booster-the-list/shinka-the-bloodsoaked-keep,"Shinka, the Bloodsoaked Keep",[],0.0,Legendary Land,R,,"{T}: Add {R} to your mana pool.  {R},{T}: Target legendary creature gains first strike until end of turn."
mystery-booster-the-list,/mtg/mystery-booster-the-list/tireless-tracker,Tireless Tracker,"['2', 'G']",3.0,Creature - Human Scout,R,3/2,"Whenever a land enters the battlefield under your control, investigate. <em>(Create a colorless Clue artifact token with “{2}, Sacrifice this artifact: Draw a card.”)</em> Whenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker."
mystery-booster-the-list,/mtg/mystery-booster-the-list/phyrexian-obliterator,Phyrexian Obliterator,"['B', 'B', 'B', 'B']",4.0,Creature - Phyrexian Horror,M,5/5,"Trample Whenever a source deals damage to Phyrexian Obliterator, that source's controller sacrifices that many permanents."
mystery-booster-the-list,/mtg/mystery-booster-the-list/training-grounds,Training Grounds,['U'],1.0,Enchantment,R,,Activated abilites of creatures you control cost up to {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.
mystery-booster-the-list,/mtg/mystery-booster-the-list/lord-of-the-undead,Lord of the Undead,"['1', 'B', 'B']",3.0,Creature - Zombie,R,2/2,"Other Zombie creatures get +1/+1.  {1}{B}, {T}: Return target Zombie card from your graveyard to your hand."
mystery-booster-the-list,/mtg/mystery-booster-the-list/angelic-destiny,Angelic Destiny,"['2', 'W', 'W']",4.0, Enchantment - Aura,M,,"Enchant creature Enchanted creature gets +4/+4, has flying and first strike, and is an Angel in addition to its other types. When enchanted creature dies, return Angelic Destiny to its owner’s hand."
mystery-booster-the-list,/mtg/mystery-booster-the-list/contagion-engine,Contagion Engine,['6'],6.0,Artifact,R,,"When Contagion Engine enters the batlefield, put a -1/-1 counter on each creature target player controls.  {4}, {T}: Proliferate, then proliferate again. <em>(You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there. Then do it again.)</em"
mystery-booster-the-list,/mtg/mystery-booster-the-list/aura-shards-commander,Aura Shards (Commander),"['1', 'G', 'W']",3.0,Enchantment,U,,"Whenever a creature enters the battlefield under your control, you may destroy target artifact or enchantment."
mystery-booster-the-list,/mtg/mystery-booster-the-list/unwinding-clock,Unwinding Clock,['4'],4.0,Artifact,R,,Untap all artifacts you control during each other player's untap step.
